natural_kyphosis,active_curvature,anisotropy,initial_lateral_defect,cobb_angle,max_curvature,s_lat,max_torsion,u_cc,runtime_sec
0.0,12.0,5.0,0.05,86.80448135592552,128.1472473017018,0.5895018699487445,47.96456082097965,-26.113869799842867,13.991642236709595
0.5,12.0,5.0,0.05,87.07097213090427,128.64566516639826,0.5815076775621217,48.2723738412926,-26.084368778729804,5.749345779418945
1.0,12.0,5.0,0.05,85.16076449648313,128.67183348410595,0.5247931343243623,48.36260904621173,-26.06115395223103,5.623685121536255
1.5,12.0,5.0,0.05,81.60385987749638,128.14253948197737,0.48740756942651053,48.48145216538967,-26.04118663376851,5.638006210327148
2.0,12.0,5.0,0.05,76.23332420969474,126.95526716041574,0.4192634726167647,50.12543759487821,-26.03342799891414,5.5183281898498535
2.5,12.0,5.0,0.05,67.72238428574201,125.12616825303662,0.31385076903414455,52.03532063547921,-26.05652974893068,5.493291139602661
3.0,12.0,5.0,0.05,52.89840587638888,123.33815536067235,0.19394041417964958,47.21635263544839,-26.074412882742763,5.589726448059082
3.5,12.0,5.0,0.05,33.03207831194429,124.93930606367128,0.1774830337858674,46.738435596059695,-25.893966674957696,5.66690468788147
4.0,12.0,5.0,0.05,19.606469593458467,124.97237015647026,0.16863285161809535,44.71059125302349,-25.698380593206267,8.213738203048706
4.5,12.0,5.0,0.05,13.003594704003786,123.43741198402583,0.16238346970747677,39.57159972161539,-25.713796468889306,6.5935914516448975
5.0,12.0,5.0,0.05,10.451735921380761,124.22113081561072,0.1812808725232057,30.39464748955942,-25.700981463020714,6.201376438140869
5.5,12.0,5.0,0.05,11.603669859920828,125.35212578674823,0.23616021784319244,24.407714376018607,-25.78201681797139,5.556584358215332
6.0,12.0,5.0,0.05,10.588259648109569,127.1279282177328,0.2568760636185474,24.46637206278182,-26.02514835161385,8.441987037658691
6.5,12.0,5.0,0.05,8.089721563110007,129.32495370508005,0.23327930708048092,24.139303402122806,-26.19171850592003,7.926126003265381
7.0,12.0,5.0,0.05,5.50821714576925,130.98745758671623,0.2378992150744699,30.565714509277505,-26.30351749993155,5.4980528354644775
7.5,12.0,5.0,0.05,3.0066033139897765,132.1503236627048,0.23085833552586973,34.881170279127886,-26.406033938707548,5.461130857467651
8.0,12.0,5.0,0.05,1.7820547268156317,132.86135875922375,0.23173213358815192,36.99606025722357,-26.475768589746025,5.459044694900513
8.5,12.0,5.0,0.05,3.1535488686720106,132.66196736573133,0.2604765551126564,37.647836699064,-26.439892976050444,5.8049468994140625
9.0,12.0,5.0,0.05,5.913538990929949,131.26720343058176,0.3155450189912506,36.70049887494379,-26.256532745027833,5.851003885269165
9.5,12.0,5.0,0.05,8.355807822235313,129.61269120796578,0.4380113431820318,33.873004733176934,-26.053596977216536,5.467043876647949
10.0,12.0,5.0,0.05,11.077944970012512,128.86626169884389,0.5313694083607553,33.718134886394886,-25.929826364380286,5.844059467315674
