uniprot,gene_symbol,status,pdb_path,pae_path,sha256_pdb,retrieved_at,notes
P49639,HOXA1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P49639/P49639.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P49639/P49639_pae.json,9d7e4c93a85dfe5ed79ea92e5afb03bf6bb8bf80a201fa15d1dd625714104d77,2026-01-01 19:03:15,
P31260,HOXA10,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P31260/P31260.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P31260/P31260_pae.json,4fd21785d0f96bd9c6a4f926e7beaf5df21f4770c48140aa65b5c12ac0b9015f,2026-01-01 19:03:15,
P31270,HOXA11,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P31270/P31270.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P31270/P31270_pae.json,ae32b6581aa3980bbc220875760d4aac98b6ad353c0ff76a5ef3afae53242cc4,2026-01-01 19:03:16,
P31271,HOXA13,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P31271/P31271.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P31271/P31271_pae.json,dd39ab0e02add9e20a70cf10cebc9af2684c6ad8ca8badaa0730727291de06a7,2026-01-01 19:03:16,
O43364,HOXA2,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/O43364/O43364.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/O43364/O43364_pae.json,382df7590883c0a9743817b37f9c674ba59b258089101b6b643dcb6ed5774fda,2026-01-01 19:03:17,
O43365,HOXA3,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/O43365/O43365.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/O43365/O43365_pae.json,7ac69f4519c407fcddc527e77210d521f10dd85a9331088e5e17767dd3dd27e3,2026-01-01 19:03:18,
Q00056,HOXA4,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q00056/Q00056.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/Q00056/Q00056_pae.json,631fe290a9abf4be6108030acb96b49e1c6b4cc8667a1531ed10b49e9bb0ac72,2026-01-01 19:03:18,
P20719,HOXA5,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P20719/P20719.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P20719/P20719_pae.json,5e8f773fb444cf816e8e5bc5e994bf361395d1480ce387910dc292f88f21b8ca,2026-01-01 19:03:19,
P14653,HOXB1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P14653/P14653.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P14653/P14653_pae.json,c1dd0bb9447fdc7276de3fb3b21114ae4192d4b018177d099d8828c68f3dacab,2026-01-01 19:03:20,
P17483,HOXB4,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P17483/P17483.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P17483/P17483_pae.json,662180df329886a011b41d0711097b216761f0f816c0e838934942193c1c3b5b,2026-01-01 19:03:56,
P17482,HOXB9,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P17482/P17482.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P17482/P17482_pae.json,197d227d32afe18c58d4268d0441b3c0408c89a2acbbd6d65af9f5537db01481,2026-01-01 19:03:57,
P09630,HOXC6,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P09630/P09630.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P09630/P09630_pae.json,26dfc2c0fbeb4953365e773fa9c7d84e82db46a114992439fe1b82a7c81e3522,2026-01-01 19:03:58,
P31273,HOXC8,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P31273/P31273.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P31273/P31273_pae.json,afdc9c892f1418e8bd5c5a2998a0f107b2651abafe7365785f12f4b16f5bf0e9,2026-01-01 19:03:58,
P35453,HOXD13,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P35453/P35453.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P35453/P35453_pae.json,35b07cb9a6ae42a39e25a661730ef64f824a5bddc376d2463d5e0fab0760b3e5,2026-01-01 19:04:06,
P09016,HOXD4,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P09016/P09016.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P09016/P09016_pae.json,0dc6c74e89ffcdadd2db02a4523aef84d567e4317cf0cb8074aa15770ae9540f,2026-01-01 19:04:07,
P28356,HOXD9,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P28356/P28356.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P28356/P28356_pae.json,a810e0f276890e4c52ac648e9c7cc1de33fc759cfb3f47966d07c709258f5160,2026-01-01 19:04:07,
P23760,PAX3,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P23760/P23760.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P23760/P23760_pae.json,fb1d622b3fa36f312485543655b4bf46ecb3e79aed3d16216e7fcd0df492adda,2026-01-01 19:04:08,
P55771,PAX9,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P55771/P55771.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P55771/P55771_pae.json,b2cebf051225a7b59eb3833598de76afa75cc8b481bc5056620804f58f65e7ce,2026-01-01 19:04:09,
P16112,ACAN,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P16112/P16112.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P16112/P16112_pae.json,1add4f2ded43c6b5028716e2e2af73f1f73761a85709685d0e6d0bb3db9a2706,2026-01-02 19:04:21,
P60709,ACTB,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P60709/P60709.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P60709/P60709_pae.json,0dd9eff078abb2c98591049a7b8d5160fd4ec8cd2a365fef214bd7322bf98e0d,2026-01-02 19:04:21,
P12644,BMP4,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P12644/P12644.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P12644/P12644_pae.json,7b3581216c29595a01f55e4feafbbcd3da20192a45da61f1d59acd0615de4e23,2026-01-02 19:04:22,
P19022,CDH2,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P19022/P19022.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P19022/P19022_pae.json,939c13893f15585c84e341378a02a6fc59fd10bf47e154e1382fa1dd91b7033d,2026-01-02 19:04:25,
P02458,COL2A1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P02458/P02458.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P02458/P02458_pae.json,bdf0fc4ee27ae94293c3b01f0fafebb7e0ed727bfe4ba3fb3e47b2f5191df667,2026-01-02 19:04:27,
P49747,COMP,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P49747/P49747.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P49747/P49747_pae.json,e57f191353e0d70b6fc292218eceaee347d99386ff346bc71c9a0ab0b4a08aa2,2026-01-02 19:04:29,
P02751,FN1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P02751/P02751.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P02751/P02751_pae.json,511d649ea79b50c13aedcf757eb6a9fac813a5af20d1c938c3b11c1ff44c4cf6,2026-01-02 19:04:31,
P31269,HOXA9,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P31269/P31269.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P31269/P31269_pae.json,370ea8185cc2f9dcdaaf5548a906bcacb8a83be8920ff5780aa513b8677cc540,2026-01-02 19:04:32,
Q13099,IFT88,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q13099/Q13099.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/Q13099/Q13099_pae.json,1c608abc7e93efa90a87e7522e0968f268df446ca268e65566e3394d006f33e0,2026-01-02 19:04:34,
P05556,ITGB1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P05556/P05556.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P05556/P05556_pae.json,bdce148a8a8e131a0a59246570cbb83c5acb50d28dc05ded4d2bb32e381dec80,2026-01-02 19:04:35,
Q9Y496,KIF3A,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q9Y496/Q9Y496.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/Q9Y496/Q9Y496_pae.json,a96e2d72a195f20ca64894ce2c22a8d277dbf2c3a6405f39d3d7105439e738a6,2026-01-02 19:05:12,
O15232,MATN3,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/O15232/O15232.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/O15232/O15232_pae.json,758d966b20b70d880723ea197b5f512675ae018d5006f9162d7889f3f1908009,2026-01-02 19:05:14,
P15863,PAX1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P15863/P15863.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P15863/P15863_pae.json,d2b4bbdc7bc244d3a674043dcb2038697c7e41c76d6df04e27b3838973252073,2026-01-02 19:05:17,
Q15465,SHH,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q15465/Q15465.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/Q15465/Q15465_pae.json,d987710e1646af195c9645b4ecf8b07b518f58351f7aa0be4260a908f5732e25,2026-01-02 19:05:18,
Q71U36,TUBA1A,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q71U36/Q71U36.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/Q71U36/Q71U36_pae.json,2a6a5c2c2f1e0a7013ded5796c83d6d9bc5b3c7bf935b446a663c1948e7a3d7d,2026-01-02 19:05:20,
P56704,WNT3A,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P56704/P56704.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P56704/P56704_pae.json,f031757e87b4771dc2cf8e4a638de57a6541d66961af0a4969e2c4075346d72b,2026-01-02 19:05:21,
P18206,VCL,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P18206/P18206.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P18206/P18206_pae.json,fe6e28e2a6c14a897a41496e84c655526b5a0148ce4e923a80f562153c5cce9a,2026-01-02 19:05:22,
P46937,YAP1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P46937/P46937.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P46937/P46937_pae.json,191425816c40b1574c7cba44b5a327c5cd3eab57efd945a75add64e917664d62,2026-01-02 19:05:24,
P02768,ALB,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P02768/P02768.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P02768/P02768_pae.json,0258d734c749c168b8b3b591ccb6611a1750b0a5111198f60366810fa206f5ac,2026-01-02 19:05:24,
P04406,GAPDH,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P04406/P04406.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P04406/P04406_pae.json,d29748dc3eca3549dec88a0b3c3b3bbc112dc32a925a29e015ca9076e4ab93ce,2026-01-02 19:05:25,
P35579,MYH9,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P35579/P35579.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P35579/P35579_pae.json,43d38359c1f353de9eb46de3e3d4b08fedc087d217fb05a248445223bc1988d0,2026-01-02 19:05:28,
