gene_symbol,uniprot,source_category,morphology,anisotropy,radius_of_gyration,mean_plddt,n_residues,dise_score,fraction_low_plddt,disorder_fraction,curvature_summary,torsion_summary,end_to_end_distance,bending_hotspots,hinge_candidates,exposed_fraction,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_idr_heavy,pae_mean,pae_blockiness,lambda_min,lambda_mid,lambda_max,anisotropy_ratio
PIEZO2,Q9H5I5,Mechanotransduction,Fibrous/Extended,3.4544276937711142,48.56271117965333,79.4436389280677,709,95,0.2143864598025388,0.1368124118476728,0.3293254003639894,1.4284592527058404,28.406129021744583,460:0.38; 239:0.38; 138:0.38,0,0.5627644569816643,0.2452107279693486,False,True,False,16.987465211535746,2.799985883630068,141.9962866575854,521.8886194522051,1694.4520110086355,3.4544276937711142
LBX1,P52954,Somite,Intermediate,1.7613878517210444,37.019127025028446,66.86779359430605,281,95,0.6120996441281139,0.2633451957295373,0.3434979169995809,1.1726210428916588,51.85587921345082,83:0.39; 37:0.39; 34:0.38,0,0.9323843416370108,0.3555555555555555,True,True,False,25.08210382340649,7.354659843586591,246.60270444691665,358.73123860668926,765.0818226415855,1.7613878517210444
YAP1,P46937,Mechanotransduction,Intermediate,1.537736398452197,44.884467195337415,57.40202380952381,504,90,0.7380952380952381,0.4484126984126984,0.3205951769314977,1.6284674711436933,11.43404797086316,182:0.38; 241:0.38; 257:0.38,2,0.9285714285714286,0.2959183673469387,True,True,True,27.50207073570169,9.255118278429228,436.04974430249297,547.4678365500913,1031.0978145567365,1.537736398452197
POC5,Q8NA72,Cilia,Fibrous/Extended,4.971915495463183,83.18954228783096,63.974834782608696,575,90,0.6069565217391304,0.4852173913043478,0.3644277300927849,0.8484445349929983,307.38179154107354,156:0.38; 247:0.38; 192:0.37,5,1.0,0.3628318584070796,True,True,True,25.648027221172025,3.508112193042216,256.9926243467463,310.6633255099497,6352.843996202119,4.971915495463183
WWTR1,Q9GZV5,Mechanotransduction,Intermediate,1.659379108846795,41.04096154335743,59.14265,400,88,0.695,0.515,0.3263123093450208,1.4714116961025088,52.04705481581066,135:0.39; 42:0.38; 49:0.38,0,0.9725,0.2882882882882883,True,True,True,27.06739375,5.854519175573032,304.1721219069302,542.6384978912693,837.549904605145,1.659379108846795
ADGRG6,Q7Z2K8,Mechanotransduction,Globular,1.4059602747582869,64.83770394949205,43.7200496031746,1008,88,0.9662698412698412,0.8373015873015873,0.3567514583598163,0.9412384007142138,31.944183038543965,948:0.38; 930:0.38; 933:0.37,0,0.9990079365079364,0.4242424242424242,True,False,True,28.678764329806,0.0,932.2182227365536,1428.971101619948,1842.7385290854763,1.4059602747582869
TBX6,O95935,Segmentation,Intermediate,1.546974371439006,47.66978816385806,59.43484349258649,607,85,0.6738056013179572,0.5634266886326195,0.2951656419587933,1.9155592456770505,43.44137264175708,169:0.41; 231:0.38; 250:0.38,29,0.7808896210873146,0.4189189189189189,True,False,True,25.699904192981933,0.0,465.2718695678596,693.680798401443,1113.4560356177983,1.546974371439006
VANGL1,Q8TAA9,PCP,Intermediate,2.249965662131721,40.3889538427504,75.59803435114505,524,85,0.3396946564885496,0.1736641221374046,0.3353200170652827,1.3300029224405725,40.0268345738206,446:0.38; 369:0.38; 379:0.38,1,0.6431297709923665,0.2795031055900621,False,True,False,18.24434764873842,2.1409966205957303,223.3047728099319,277.5167609355854,1130.4460587663052,2.249965662131721
PTK7,Q13308,PCP,Fibrous/Extended,5.277950266708824,63.80438547219062,82.69006542056074,1070,85,0.1420560747663551,0.0943925233644859,0.2842713282663374,1.954717856889102,72.38574634553407,155:0.42; 869:0.42; 618:0.41,20,0.385981308411215,0.3431734317343173,False,True,False,22.493674556729847,4.526271693601622,124.1906116583953,487.2604317018067,3459.5485621236885,5.277950266708824
COL2A1,P02458,ECM,Globular,1.191345910239339,61.26440128044738,52.1160860793544,1487,85,0.8056489576328177,0.691324815063887,0.2937975430917799,1.870169009727823,45.37582481894957,1327:0.42; 1454:0.39; 1282:0.38,16,0.8728984532616005,0.2772277227722772,True,True,True,27.441636528008488,5.903014494330966,1033.7110107037067,1252.4644757677283,1467.1513777802484,1.191345910239339
