gene_symbol,uniprot,source_category,morphology,anisotropy_index,radius_of_gyration,plddt_mean,n_residues,dise_score,plddt_median,plddt_fraction_high,plddt_fraction_ok,plddt_fraction_low,disorder_fraction_proxy,backbone_principal_axis,curvature_summary,torsion_summary,end_to_end_distance,bending_hotspots,hinge_candidates,exposed_surface_proxy,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_IDR_heavy,predicted_domain_segments,PAE_mean,PAE_domain_blockiness_score
PIEZO2,Q9H5I5,"Mechanotransduction,Proprioception",Fibrous/Extended,4.441176983762356,43.40791862714556,79.4436389280677,709,95,88.38,0.41748942172073344,0.36812411847672777,0.2143864598025388,0.1368124118476728,"[-0.687, -0.068, 0.724]",0.3293254003639894,1.4284592527058404,28.406129021744583,460:0.38; 239:0.38; 138:0.38,0,0.5627644569816643,0.24521072796934865,False,False,False,0,0.0,0.0
PIEZO1,Q92508,"Mechanotransduction,Growth_Plate,Ion_Channel",Fibrous/Extended,3.896259474160542,58.854216254576635,72.0459182863943,2521,92,79.19,0.11939706465688218,0.5537485124950416,0.32685442284807614,0.1701705672352241,"[-0.270, -0.320, 0.908]",0.3413845615077925,1.181661841789843,29.952230718262037,458:0.44; 625:0.42; 513:0.41,3,0.45735819119397064,0.26963906581740976,False,False,False,0,0.0,0.0
YAP1,P46937,"Mechanotransduction,Hippo,Growth_Plate",Intermediate,1.9895190619317915,23.554690762101806,57.402023809523804,504,90,51.56,0.015873015873015872,0.24603174603174602,0.7380952380952381,0.44841269841269843,"[-0.676, 0.732, 0.082]",0.3205951769314977,1.6284674711436933,11.43404797086316,182:0.38; 241:0.38; 257:0.38,2,0.9285714285714286,0.29591836734693877,True,False,True,0,0.0,0.0
MESP2,Q0VG99,"Segmentation,Somite",Fibrous/Extended,4.029817350768749,17.029448598780608,54.17438287153653,397,88,46.72,0.11586901763224182,0.0654911838790932,0.818639798488665,0.5843828715365239,"[-0.526, -0.048, 0.849]",0.3514623000918982,1.183040545751002,42.6401045730425,142:0.38; 85:0.38; 109:0.38,1,0.9722921914357683,0.36065573770491804,True,False,True,0,0.0,0.0
PAX1,P15863,"Segmentation,Somite",Fibrous/Extended,4.154336777906718,24.326822002896726,59.438591224018474,433,88,48.19,0.2586605080831409,0.03695150115473441,0.7043879907621247,0.5473441108545035,"[-0.648, -0.104, 0.754]",0.33030338587266267,1.3465929155142804,42.15479752056699,133:0.38; 104:0.38; 183:0.38,1,0.8729792147806005,0.3013698630136986,True,False,True,0,0.0,0.0
TBX6,O95935,"Segmentation,Somite",Intermediate,1.941329833810662,16.82963263892228,72.93074576271187,295,85,91.56,0.5288135593220339,0.07457627118644068,0.39661016949152544,0.30847457627118646,"[-0.687, -0.144, 0.713]",0.2933810542606147,1.9503203959838997,11.733254706175947,121:0.42; 178:0.38; 181:0.38,16,0.5457627118644067,0.33962264150943394,False,False,True,0,0.0,0.0
DLL3,Q9NYJ7,"Segmentation,Notch",Intermediate,2.157890483502005,35.52626950536816,67.6218398637138,587,85,75.06,0.10221465076660988,0.46678023850085176,0.43100511073253833,0.22657580919931858,"[-0.743, -0.329, 0.583]",0.282753920906773,1.9716629939028176,48.10174393927937,180:0.43; 48:0.38; 26:0.38,39,0.545144804088586,0.21428571428571427,True,False,False,0,0.0,0.0
HES7,Q9LBK6,"Segmentation,Notch,Somite",Intermediate,2.2479259814695474,26.056631496642993,73.28382222222221,225,85,72.31,0.37333333333333335,0.16444444444444445,0.4622222222222222,0.18666666666666668,"[0.047, -0.369, -0.928]",0.35036937002861607,1.0772076752812685,46.52960095466111,122:0.38; 46:0.37; 43:0.37,0,0.9377777777777778,0.32710280373831774,False,False,False,0,0.0,0.0
COL2A1,P02458,"ECM,Growth_Plate",Intermediate,2.6503037236422986,24.965264352400663,52.1160860793544,1487,85,44.12,0.13315400134498992,0.06119704102219233,0.8056489576328177,0.691324815063887,"[-0.434, -0.065, 0.899]",0.29379754309177986,1.870169009727823,45.37582481894957,1327:0.42; 1454:0.39; 1282:0.38,16,0.8728984532616005,0.27722772277227725,True,False,True,0,0.0,0.0
NOTCH1,P46531,"Segmentation,Signaling",Intermediate,2.0437196674242157,51.37116803618472,59.59925636007829,2555,85,65.25,0.028962818003913895,0.3193737769080235,0.6516634050880626,0.26575342465753427,"[-0.745, -0.169, 0.645]",0.3129616531074873,1.667201485528701,51.327363666956444,1093:0.40; 1971:0.40; 2026:0.39,31,0.42426614481409003,0.3482142857142857,True,False,False,0,0.0,0.0
SOX9,P48436,"Growth_Plate,Transcription_Factor",Intermediate,2.1883578623217645,16.63470226248062,55.97495088408645,509,85,50.22,0.10609037328094302,0.05304518664047151,0.8408644400785854,0.4911591355599214,"[0.626, -0.097, -0.774]",0.34062133927682176,1.2877596598743184,20.672846925375325,134:0.38; 147:0.38; 116:0.37,2,0.9233791748526523,0.5208333333333334,True,False,True,0,0.0,0.0
NOTCH2,Q04721,"Segmentation,Signaling",Globular,1.3438292313847702,52.64791401899937,59.40140024281667,2471,85,65.5,0.0453257790368272,0.30716309186564145,0.6475111290975314,0.2715499797652772,"[-0.248, -0.573, 0.781]",0.3184353683394422,1.6550695976414262,62.59262987764613,1920:0.39; 2045:0.38; 1492:0.38,35,0.47146904087414004,0.3732394366197183,True,False,False,0,0.0,0.0
TRPV4,Q9HBA0,"Mechanotransduction,Ion_Channel",Intermediate,2.93482798741015,35.40188546213825,71.60041331802526,871,82,83.19,0.22043628013777267,0.44661308840413316,0.33295063145809417,0.2537313432835821,"[-0.638, -0.113, 0.762]",0.33966948448846135,1.313469083449585,70.35270864010853,453:0.39; 179:0.38; 498:0.38,2,0.5510907003444316,0.2766990291262136,False,False,False,0,0.0,0.0
WNT5A,P41221,"Signaling,PCP",Intermediate,1.690729702391678,22.707989183260754,89.55624657534246,365,80,95.25,0.7917808219178082,0.09041095890410959,0.1178082191780822,0.06027397260273973,"[0.692, 0.291, -0.661]",0.31693948294945606,1.5914438306993481,49.45217852632985,30:0.39; 31:0.38; 32:0.38,1,0.3972602739726027,0.37735849056603776,False,False,False,0,0.0,0.0
RUNX2,Q13950,"Bone,Mechanotransduction",Fibrous/Extended,3.169013432878691,22.413280628807243,59.509625246548325,507,80,48.19,0.22682445759368836,0.08481262327416174,0.6883629191321499,0.5384615384615384,"[-0.817, 0.565, 0.113]",0.29565198691282674,1.817229622155033,36.005670886681166,192:0.39; 102:0.38; 113:0.38,25,0.8126232741617357,0.22058823529411764,True,False,True,0,0.0,0.0
WNT3A,P56704,"Signaling,Bone",Intermediate,1.7902568396793557,23.441035356123994,88.31732954545454,352,75,95.06,0.7585227272727273,0.12215909090909091,0.11931818181818182,0.08238636363636363,"[0.347, 0.386, -0.855]",0.313228264993039,1.6308130186235559,29.311541515246173,100:0.38; 301:0.38; 84:0.38,2,0.4005681818181818,0.3669724770642202,False,False,False,0,0.0,0.0
SIRT1,Q96EB6,"Signaling,Muscle,Metabolism",Intermediate,1.7281599506652174,22.3456798467501,65.02440428380187,747,72,69.88,0.36947791164658633,0.12985274431057564,0.500669344042838,0.46586345381526106,"[0.666, -0.157, -0.729]",0.31843759267899524,1.6118724354122995,25.28682243778368,446:0.40; 242:0.39; 295:0.39,3,0.6706827309236948,0.3984375,True,False,True,0,0.0,0.0
HOXB1,P14653,"Development,Segmentation",Intermediate,2.5998061385083293,16.691482507160476,60.6475415282392,301,70,51.22,0.19933554817275748,0.03986710963455149,0.760797342192691,0.43853820598006643,"[-0.962, 0.274, -0.008]",0.34234390729930797,1.2177794998766063,36.2913562298242,243:0.38; 181:0.37; 211:0.37,0,0.9335548172757475,0.4423076923076923,True,False,True,0,0.0,0.0
