Identity,Species,Length,pLDDT_mean,pLDDT_median,pLDDT_frac_high,pLDDT_frac_ok,pLDDT_frac_low,PAE_mean,PAE_blockiness,Disorder_Proxy,Hinge_Cands,Rg,End_to_End,Curvature,Torsion,Anisotropy,Principal_Axis,Hotspots,Exposed_Frac,Charged_Patch,Domains,Flags
PIEZO2 (Q9H5I5),Homo sapiens,709,79.4,88.4,0.42,0.37,0.21,17.0,2.8,0.14,0,43.4,28.4,0.329,1.428,4.44,"[-0.687, -0.068, 0.724]",460:0.38; 239:0.38; 138:0.38,0.56,0.25,7,MultiDomUncert
LBX1 (P52954),Homo sapiens,281,66.9,60.2,0.23,0.16,0.61,25.1,7.35,0.26,0,22.7,51.9,0.343,1.173,2.27,"[-0.222, -0.149, 0.964]",83:0.39; 37:0.39; 34:0.38,0.93,0.36,3,"LowConf, MultiDomUncert"
RUNX3 (Q13761),Homo sapiens,415,60.6,46.3,0.28,0.04,0.68,25.6,0.0,0.56,12,15.8,53.0,0.284,1.965,2.06,"[-0.510, 0.008, 0.860]",159:0.39; 69:0.38; 54:0.38,0.78,0.37,1,LowConf
NTRK3 (Q16288),Homo sapiens,839,76.8,88.8,0.47,0.25,0.28,22.2,6.34,0.2,9,32.5,42.5,0.303,1.829,1.94,"[-0.157, -0.071, 0.985]",328:0.42; 236:0.40; 592:0.39,0.41,0.32,10,MultiDomUncert
LMNA (P02545),Homo sapiens,664,76.4,93.1,0.58,0.11,0.31,24.9,2.56,0.26,0,71.2,278.1,0.344,1.194,4.75,"[-0.668, -0.244, 0.703]",508:0.40; 519:0.39; 30:0.38,0.87,0.4,3,MultiDomUncert
NF1 (P21359),Homo sapiens,593,87.2,93.2,0.68,0.21,0.11,9.5,2.42,0.07,1,26.1,40.7,0.35,1.116,1.93,"[-0.387, -0.133, 0.912]",221:0.38; 178:0.38; 274:0.38,0.34,0.37,6,OK
EGR3 (Q06889),Homo sapiens,387,50.0,37.9,0.13,0.11,0.75,25.9,0.0,0.64,2,18.5,42.9,0.331,1.631,3.76,"[-0.453, -0.341, 0.824]",226:0.38; 300:0.38; 323:0.38,0.87,0.54,1,LowConf
OTOP1 (Q7RTM1),Homo sapiens,612,75.7,86.9,0.4,0.28,0.32,16.2,1.83,0.23,0,22.6,10.3,0.356,0.967,1.75,"[0.840, 0.540, 0.055]",255:0.39; 88:0.38; 554:0.38,0.46,0.19,7,MultiDomUncert
PLOD1 (Q02809),Homo sapiens,727,92.7,96.1,0.88,0.08,0.05,7.7,2.31,0.03,1,34.7,81.0,0.309,1.683,3.4,"[-0.617, -0.153, 0.772]",685:0.39; 660:0.39; 458:0.38,0.3,0.43,3,OK
MYLK (Q15746),Homo sapiens,1914,65.84507314524556,80.12,0.1797283176593521,0.42789968652037635,0.3923719958202716,26.60291625584567,8.28959095350075,0.3469174503657262,31,41.50389838721379,56.77836512264156,0.2765878752741912,2.0755989382804536,1.4640526080343412,"[-0.262, -0.391, 0.882]",1835:0.42; 59:0.41; 649:0.41,0.5344827586206896,0.3966666666666666,28,"LowConf, MultiDomUncert, IDR_Heavy"
DMD (P11532),Homo sapiens,525,76.34927619047619,85.06,0.4609523809523809,0.1771428571428572,0.3619047619047619,19.0086820861678,6.90819720471551,0.1752380952380952,1,22.82447560454643,48.85366185865702,0.3396918844143603,1.328278333123612,1.3155342721236885,"[-0.696, -0.170, 0.698]",251:0.39; 14:0.39; 53:0.38,0.5523809523809524,0.3720930232558139,2,MultiDomUncert
ARNTL (O00327),Homo sapiens,626,65.52864217252394,63.59,0.3354632587859425,0.13258785942492013,0.5319488817891374,22.81820524859905,3.5856438629417164,0.4041533546325878,6,32.06851875969924,14.262585109299083,0.314879829201722,1.6185709737500673,3.3192797281217827,"[-0.577, 0.255, 0.776]",143:0.38; 191:0.38; 428:0.38,0.6916932907348243,0.4736842105263157,7,"LowConf, MultiDomUncert, IDR_Heavy"
GHR (P10912),Homo sapiens,638,58.69753918495297,48.89,0.2617554858934169,0.07053291536050155,0.6677115987460815,25.82729385520976,5.309022073672339,0.5047021943573667,54,31.35538953628705,63.24585957989661,0.2819223402032338,1.981865304738773,5.13247062540886,"[-0.761, 0.080, 0.644]",266:0.38; 131:0.38; 163:0.38,0.8040752351097179,0.2022471910112359,3,"LowConf, MultiDomUncert, IDR_Heavy"
IGF1R (P08069),Homo sapiens,1367,78.01789319678127,88.0,0.4359912216532553,0.31602048280907097,0.2479882955376737,23.586392385249766,5.850335926217477,0.1572787125091441,35,43.19563878705403,53.57743917919183,0.2975271574185976,1.7991094129582073,1.426632071596987,"[-0.397, 0.016, 0.918]",34:0.41; 1073:0.40; 44:0.38,0.4177029992684711,0.3524904214559387,16,MultiDomUncert
PPARGC1A (Q9UBK2),Homo sapiens,798,52.74286967418547,44.045,0.0802005012531328,0.12907268170426067,0.7907268170426065,28.088947305607377,6.5607107575563255,0.6190476190476191,0,31.245049772687448,68.17329278390476,0.3341653120422594,1.3147186562736124,2.185052241061399,"[-0.885, 0.223, 0.409]",689:0.38; 697:0.38; 795:0.38,0.9335839598997494,0.5086206896551724,4,"LowConf, MultiDomUncert, IDR_Heavy"
