gene_symbol,uniprot_id,priority_score,anisotropy_index,radius_of_gyration,plddt_mean,morphology,organism
MYLK,Q15746,100,1.3267013,53.113914,65.84507314524556,Globular,Homo sapiens
DMD,P11532,100,1.5341488,28.909359,76.34927619047619,Globular,Homo sapiens
DAG1,Q14118,100,1.2927722,44.748367,68.17016759776536,Globular,Homo sapiens
ARNTL,O00327,100,2.1256368,42.217247,65.52864217252394,Globular,Homo sapiens
GHR,P10912,100,2.2720792,52.913834,58.69753918495297,Globular,Homo sapiens
IGF1R,P08069,100,1.4434688,43.93388,78.01789319678127,Globular,Homo sapiens
PPARGC1A,Q9UBK2,100,1.346251,51.948326,52.74286967418547,Globular,Homo sapiens
ACVR1,Q04771,95,2.601511,35.480656,83.10695481335954,Globular,Homo sapiens
NTRK3,Q16288,95,1.6573821,35.958443,76.81557806912993,Globular,Homo sapiens
RUNX3,Q13761,95,1.5697508,42.719357,60.564096385542165,Globular,Homo sapiens
